reviews,predicted_sentiment
gentleman front desk helpful helped three u early flight snag bit breakfast 4 kitchen area nice perk otherwise quite ok night sleep west facing room curtain block sun next time ill get easy facing room need get sleep early,positive
room nice clean well maintained lot restaurant option around breakfast pretty good reception hit miss couple night real good even replaced dinner one night wasnt nice outdoor seating,positive
reading review motel see great deal conflicting opinion say first stay motel one night great clean inexpensive someone said utilitarian thats good word describe motel,positive
2nd stay excellence riviera cancun great 1st go back,positive
beautiful historic hotel attentive staff check decent breakfast upstairs,positive
enjoyed stay clean quit breakfast nice many nice hotel fayetteville one hotel safe stay staff sweet ask much breakfast mother life town said bring,positive
always great time marriot mountainside,positive
room quaint bed good condition ant bathroom room fairly clean,neutral
stayed carrie underwood concert hampton va pretty disappointed hotel first walked room weird mildew type smell room towel bathroom smelled way open sliding door let fresh air room picture hotel look much nicer actual room bathroom little space countertop near sink large crack kill couple bug two night stay overpriced coke machine outside room expired drink last morning trip toilet stopped flushing kind last straw hotel glad checking would recommend staying make management front desk aware experience gave u free coke membership reward program around 10000 point make issue point even come close giving u reward program disappointing stay overall,negative
family stayed week visiting st louis area comfortable clean hotel 100 night convenient expressway farenough away dont hear usual comfort inn breakfast buffet available morning ok nothing write home staff friendly helpful,positive
value hotel great get get nice buffet breakfast pick newspaper read fresh baked cooky afternoon could smell lobby went quickly located right next hilton garden inn listed 50 buck price paid hotel know hilton nicer hotel unlesss plan spending day hotel room hilton worth 120 quality inn great midnicer hotel price reasonable least 75 rate got amentities worth hotel smelled nice except hallway slight older smoke smell since spend minute walking bad affect smell room third floor away freeway noise problem dont waste money expensive hotel isnt really much better unless like spend money psychological problem spend 50 buck hilton youre getting 50 buck worth youre go quality inn better might think,positive
condo excellent neat comfortable exquisite dcor breathtaking view helpful friendly staff would stay,positive
helpful staff checkin gave u information necessary enjoy area included coupon several different restaurant sheet gave u full information many local site,positive
stayed poolside room one night loved backyard pool ground beautifully landscaped tree vine flower inside privacy fence comfortable safe feeling two lady traveling alone shower brand new room extremely clean host,positive
great little gem really enjoyed night,positive
need pay attention cleanliness bed went sleep one full bed noticed sheet dirty slept full bed room,negative
overall great stay cost bit high area friendly staff room always clean,positive
room service stole key son mercedes purchased flew loaded truck semi kept one key sent trucker ask manager ask said ask staff steal key come really,positive
terrible hotel fridge work tv got one station volume bottom door hole itthe room smelled really bad felt really unsafe hotel,negative
heat room brought portable heater next day,positive
everything okay except room smelled like smoke lighting bathroom could better well everything good,positive
stayed trip valentine came see waterfall park hotel clean people behind desk friendly got king suite room roomy window looked onto roof car port careful get room 202 room,positive
business another person two room nightmare one drape despite numerous attempt get declined difficult sleep 1030pm sun staring face coffee maker room coffee shop doesnt open 7am,positive
initially room smaller expected stay pleasant nonetheless,positive
usually look comfort inn suiteswe disappointed hotel smoke smell entered roomno frig microwave found stephanie front desk unfriendly sad buttrue,negative
even though hotel smoking policy soon walked could smell cigarette smoke lobby really small breakfast lame nice place good price,negative
stayed july 4th weekend dozen year price skyrocketed time irritating see price quadruple 2nd 3rd little gouging regular multiple room used book 4 5 room 2 total 3 night 3 star hotel worth 4 star price,negative
business needed comfortable stay marriott delivered,positive
lost family member gathered family member together hotel staff wonderful supportive difficult time,positive
great room great rate clean spacious room thank rachel c hospitality enjoyed staying helpful accommodating made u feel comfortable lot parking welllit lot,positive
right center harbor activity took private taxi right door hotel waiting greet u walked everywhere without problem,positive
asked full refund cause terrible smell room gave please align invoice,negative
best okay hotel lobby really smelly way get parking difficult,positive
